광역시코드,지역명,공급유형명,단지명,총세대수,전용면적,세대수,임대보증금,월임대료,최초입주년월
27,대구광역시 달성군,국민임대,대구옥포천년나무 2단지,1186,36.93,794,10602000,167230,201503
27,대구광역시 달성군,국민임대,대구옥포천년나무 2단지,1186,29.85,124,8635000,132250,201503
27,대구광역시 달성군,국민임대,대구테크노폴리스 1단지,1390,51.82,192,24838000,294620,201602
27,대구광역시 달성군,국민임대,대구테크노폴리스 1단지,1390,46.89,176,20322000,266660,201602
27,대구광역시 달성군,국민임대,대구테크노폴리스 1단지,1390,36.96,446,9354000,169880,201602
27,대구광역시 달성군,국민임대,대구테크노폴리스 1단지,1390,29.8,528,7741000,133330,201602
27,대구광역시 달성군,국민임대,대구테크노폴리스 1단지,1390,29.13,48,7741000,133330,201602
27,대구광역시 달성군,국민임대,대구테크노폴리스 2단지,1126,46.89,244,19978000,277190,201603
27,대구광역시 달성군,국민임대,대구테크노폴리스 2단지,1126,36.96,574,9569000,188170,201603
27,대구광역시 달성군,국민임대,대구테크노폴리스 2단지,1126,29.8,272,7956000,145160,201603
27,대구광역시 달성군,국민임대,대구테크노폴리스 2단지,1126,29.13,36,7956000,145160,201603
27,대구광역시 달성군,국민임대,죽곡휴먼시아1단지,594,59.88,204,36089000,246650,200807
27,대구광역시 달성군,국민임대,죽곡휴먼시아1단지,594,46.9,210,23496000,160960,200807
27,대구광역시 달성군,국민임대,죽곡휴먼시아1단지,594,39.48,180,17004000,115520,200807
27,대구광역시 동구,국민임대,대구신서 13단지,340,33.97,220,13377000,175350,201611
27,대구광역시 동구,국민임대,대구신서 13단지,340,26.92,120,10605000,147000,201611
27,대구광역시 동구,국민임대,대구신서 14단지,178,46.93,78,29680000,257000,201611
27,대구광역시 동구,국민임대,대구신서 14단지,178,26.96,100,10395000,148050,201611
27,대구광역시 동구,국민임대,대구신서 6단지,1028,51.29,104,31097000,325300,201603
27,대구광역시 동구,국민임대,대구신서 6단지,1028,46.73,168,27854000,303340,201603
27,대구광역시 동구,국민임대,대구신서 6단지,1028,36.47,540,12750000,234300,201603
27,대구광역시 동구,국민임대,대구신서 6단지,1028,29.68,216,10376000,179910,201603
27,대구광역시 동구,국민임대,대구안심4,194,46.49,88,18240000,193540,200308
27,대구광역시 동구,국민임대,대구안심4,194,39.89,40,15364000,174190,200308
27,대구광역시 동구,국민임대,대구안심4,194,39.38,66,15364000,172670,200308
27,대구광역시 동구,국민임대,대구율하 10단지,976,59.88,428,34344000,236170,201005
27,대구광역시 동구,국민임대,대구율하 10단지,976,39.85,119,17352000,119290,201005
27,대구광역시 동구,국민임대,대구율하 10단지,976,39.72,385,17352000,119290,201005
27,대구광역시 동구,국민임대,대구율하 10단지,976,39.54,44,17352000,119290,201005
27,대구광역시 동구,국민임대,대구율하 15단지,457,59.89,130,36578000,250650,200910
27,대구광역시 동구,국민임대,대구율하 15단지,457,51.93,130,31181000,215860,200910
27,대구광역시 동구,국민임대,대구율하 15단지,457,46.9,78,24465000,167890,200910
27,대구광역시 동구,국민임대,대구율하 15단지,457,39.63,119,17989000,125910,200910
27,대구광역시 동구,국민임대,대구율하 5단지,860,59.88,398,34289000,233010,200810
27,대구광역시 동구,국민임대,대구율하 5단지,860,39.85,90,17264000,118300,200810
27,대구광역시 동구,국민임대,대구율하 5단지,860,39.72,327,17264000,118300,200810
27,대구광역시 동구,국민임대,대구율하 5단지,860,39.54,45,17264000,118300,200810
27,대구광역시 동구,국민임대,대구율하 6단지,808,46.9,545,23145000,158290,200812
27,대구광역시 동구,국민임대,대구율하 6단지,808,46.89,44,23145000,158290,200812
27,대구광역시 동구,국민임대,대구율하 6단지,808,39.72,90,17148000,117510,200812
27,대구광역시 동구,국민임대,대구율하 6단지,808,39.48,129,17148000,117510,200812
27,대구광역시 동구,국민임대,대구율하 7단지,712,46.9,539,23145000,158290,200811
27,대구광역시 동구,국민임대,대구율하 7단지,712,46.89,44,23145000,158290,200811
27,대구광역시 동구,국민임대,대구율하 7단지,712,39.48,129,17148000,117510,200811
27,대구광역시 북구,국민임대,대구금호 A-3BL 국민임대주택,1252,46.94,394,29125000,275860,201701
27,대구광역시 북구,국민임대,대구금호 A-3BL 국민임대주택,1252,33.92,474,12260000,178010,201701
27,대구광역시 북구,국민임대,대구금호 A-3BL 국민임대주택,1252,26.97,384,9751000,148860,201701
27,대구광역시 북구,국민임대,"대구금호(03,택) 1단지",1088,59.6,110,37306000,368670,201410
27,대구광역시 북구,국민임대,"대구금호(03,택) 1단지",1088,46.75,324,28528000,273210,201410
27,대구광역시 북구,국민임대,"대구금호(03,택) 1단지",1088,46.5,70,28528000,273210,201410
27,대구광역시 북구,국민임대,"대구금호(03,택) 1단지",1088,39.78,96,20518000,194210,201410
27,대구광역시 북구,국민임대,"대구금호(03,택) 1단지",1088,39.71,118,20518000,194210,201410
27,대구광역시 북구,국민임대,"대구금호(03,택) 1단지",1088,36.98,48,13167000,163480,201410
27,대구광역시 북구,국민임대,"대구금호(03,택) 1단지",1088,36.94,214,13167000,163480,201410
27,대구광역시 북구,국민임대,"대구금호(03,택) 1단지",1088,33.9,108,12069000,136050,201410
27,대구광역시 북구,국민임대,"대구금호(03,택) 8단지",1022,46.67,114,29490000,289240,201605
27,대구광역시 북구,국민임대,"대구금호(03,택) 8단지",1022,39.86,368,21355000,234400,201605
27,대구광역시 북구,국민임대,"대구금호(03,택) 8단지",1022,36.7,320,13647000,223650,201605
27,대구광역시 북구,국민임대,"대구금호(03,택) 8단지",1022,33.74,220,12563000,191390,201605
27,대구광역시 북구,국민임대,대구도남 A1블록,258,43.24,100,25767000,228070,202210
27,대구광역시 북구,국민임대,대구도남 A1블록,258,29.24,158,10274000,148140,202210
27,대구광역시 북구,국민임대,대구도남 A2블록,800,46.23,442,27228000,263080,202302
27,대구광역시 북구,국민임대,대구도남 A2블록,800,37.43,96,18319000,210240,202302
27,대구광역시 북구,국민임대,대구도남 A2블록,800,29.04,262,9692000,147880,202302
27,대구광역시 북구,국민임대,대구칠곡5,714,45.32,234,16254000,124660,200210
27,대구광역시 북구,국민임대,대구칠곡5,714,36.44,480,13067000,99090,200210
27,대구광역시 북구,국민임대,대구태전1,1937,59.92,68,38015000,262170,202011
27,대구광역시 북구,국민임대,대구태전1,1937,59.87,415,38015000,262170,202011
27,대구광역시 북구,국민임대,대구태전1,1937,51.99,21,31066000,212330,202011
27,대구광역시 북구,국민임대,대구태전1,1937,51.97,2,31066000,212330,202011
27,대구광역시 북구,국민임대,대구태전1,1937,51.94,108,31066000,212330,202011
27,대구광역시 북구,국민임대,대구태전1,1937,51.89,160,31066000,212330,202011
27,대구광역시 북구,국민임대,대구태전1,1937,51.78,100,31066000,212330,202011
27,대구광역시 북구,국민임대,대구태전1,1937,51.76,80,31066000,212330,202011
27,대구광역시 북구,국민임대,대구태전1,1937,46.88,98,26477000,179520,202011
27,대구광역시 북구,국민임대,대구태전1,1937,46.78,290,26477000,179520,202011
27,대구광역시 북구,국민임대,대구태전1,1937,46.73,25,26477000,179520,202011
27,대구광역시 북구,국민임대,대구태전1,1937,46.69,78,26477000,179520,202011
27,대구광역시 북구,국민임대,대구태전1,1937,39.71,492,19006000,131070,202011
27,대구광역시 북구,국민임대,칠곡7단지,1009,47.46,9,24093000,163530,200708
27,대구광역시 북구,국민임대,칠곡7단지,1009,46.9,116,24093000,163530,200708
27,대구광역시 북구,국민임대,칠곡7단지,1009,46.59,18,24093000,163530,200708
27,대구광역시 북구,국민임대,칠곡7단지,1009,36.9,22,17165000,117330,200708
27,대구광역시 북구,국민임대,칠곡7단지,1009,36.65,130,17165000,117330,200708
27,대구광역시 중구,국민임대,남산휴먼시아 1단지,499,59.95,68,38888000,263430,200811
27,대구광역시 중구,국민임대,남산휴먼시아 1단지,499,59.88,155,38888000,263430,200811
27,대구광역시 중구,국민임대,남산휴먼시아 1단지,499,51.81,276,31360000,213230,200811
28,인천광역시 계양구,국민임대,인천동양1,630,49.91,369,21404000,219740,200605
28,인천광역시 계양구,국민임대,인천동양1,630,39.84,261,16162000,175520,200605
28,인천광역시 계양구,국민임대,인천동양2,668,49.91,349,20954000,215100,200604
28,인천광역시 계양구,국민임대,인천동양2,668,39.84,319,15823000,171840,200604
28,인천광역시 계양구,국민임대,인천동양4,324,59.61,108,29167000,287920,200610
28,인천광역시 계양구,국민임대,인천동양4,324,51.93,216,22478000,233630,200610
28,인천광역시 계양구,국민임대,인천박촌1,230,51.93,54,32895000,279420,200912
28,인천광역시 계양구,국민임대,인천박촌1,230,46.76,10,25676000,232240,200912
28,인천광역시 계양구,국민임대,인천박촌1,230,39.63,78,18550000,179020,200912
28,인천광역시 계양구,국민임대,인천박촌1,230,33.13,88,15273000,139100,200912
28,인천광역시 남동구,국민임대,인천논현12 산뒤마을,801,46.52,354,20296000,235220,200604
28,인천광역시 남동구,국민임대,인천논현12 산뒤마을,801,39.7,447,17161000,195030,200604
28,인천광역시 남동구,국민임대,인천논현14 등대마을,1800,46.81,975,20731000,240270,
28,인천광역시 남동구,국민임대,인천논현14 등대마을,1800,39.79,825,17528000,199210,
28,인천광역시 남동구,국민임대,인천논현2,1278,51.93,547,31473000,261980,200807
28,인천광역시 남동구,국민임대,인천논현2,1278,46.9,356,22508000,247510,200807
28,인천광역시 남동구,국민임대,인천논현2,1278,39.98,116,18057000,204040,200807
28,인천광역시 남동구,국민임대,인천논현2,1278,39.72,259,18057000,204040,200807
28,인천광역시 남동구,국민임대,인천논현3 하늘마을,2148,59.88,178,36985000,307600,
28,인천광역시 남동구,국민임대,인천논현3 하늘마을,2148,51.93,550,30031000,249990,
28,인천광역시 남동구,국민임대,인천논현3 하늘마을,2148,46.9,868,21478000,236180,
28,인천광역시 남동구,국민임대,인천논현3 하늘마을,2148,39.98,238,17230000,194700,
28,인천광역시 남동구,국민임대,인천논현3 하늘마을,2148,39.72,314,17230000,194700,
28,인천광역시 남동구,국민임대,인천논현5 달맞이마을,1522,46.73,52,20986000,243450,200704
28,인천광역시 남동구,국민임대,인천논현5 달맞이마을,1522,46.6,179,20986000,243450,200704
28,인천광역시 남동구,국민임대,인천논현5 달맞이마을,1522,46.55,611,20986000,243450,200704
28,인천광역시 남동구,국민임대,인천논현5 달맞이마을,1522,39.79,471,17749000,201470,200704
28,인천광역시 남동구,국민임대,인천논현5 달맞이마을,1522,39.64,209,17749000,201470,200704
28,인천광역시 남동구,국민임대,인천도림1,714,59.64,72,19987000,264360,200307
28,인천광역시 남동구,국민임대,인천도림1,714,51.72,418,18045000,235960,200307
28,인천광역시 남동구,국민임대,인천도림1,714,51.49,224,17972000,234890,200307
28,인천광역시 남동구,국민임대,인천서창1 LH,1738,46.44,474,29000000,195000,201503
28,인천광역시 남동구,국민임대,인천서창1 LH,1738,36.87,300,15000000,160000,201503
28,인천광역시 남동구,국민임대,인천서창1 LH,1738,36.81,78,15000000,160000,201503
28,인천광역시 남동구,국민임대,인천서창1 LH,1738,36.77,456,15000000,160000,201503
28,인천광역시 남동구,국민임대,인천서창1 LH,1738,36.42,50,15000000,160000,201503
28,인천광역시 남동구,국민임대,인천서창1 LH,1738,29.63,380,12000000,117000,201503
28,인천광역시 남동구,국민임대,인천서창12 LH,1534,59.97,80,45116000,312500,201405
28,인천광역시 남동구,국민임대,인천서창12 LH,1534,46.75,338,29710000,209070,201405
28,인천광역시 남동구,국민임대,인천서창12 LH,1534,36.97,561,16506000,167250,201405
28,인천광역시 남동구,국민임대,인천서창12 LH,1534,36.88,315,16506000,167250,201405
28,인천광역시 남동구,국민임대,인천서창12 LH,1534,29.97,240,13204000,123230,201405
28,인천광역시 남동구,국민임대,인천소래 3단지,2026,59.4,162,45104000,311660,201012
28,인천광역시 남동구,국민임대,인천소래 3단지,2026,51.92,270,33816000,253940,201012
28,인천광역시 남동구,국민임대,인천소래 3단지,2026,46.8,448,26154000,221610,201012
28,인천광역시 남동구,국민임대,인천소래 3단지,2026,36.62,598,17314000,171990,201012
28,인천광역시 남동구,국민임대,인천소래 3단지,2026,29.48,548,14744000,108490,201012
28,인천광역시 남동구,국민임대,인천소래1단지,882,51.92,184,36090000,253700,201601
28,인천광역시 남동구,국민임대,인천소래1단지,882,46.8,220,27701000,224870,201601
28,인천광역시 남동구,국민임대,인천소래1단지,882,36.94,72,17816000,172980,201601
28,인천광역시 남동구,국민임대,인천소래1단지,882,36.62,174,17816000,172980,201601
28,인천광역시 남동구,국민임대,인천소래1단지,882,29.48,232,15105000,109540,201601
