광역시코드,총세대수,전용면적,세대수,임대보증금,월임대료
41,1174,39.77,174,22786000,189470
41,1174,39.72,248,22786000,189470
41,875,59.94,136,58813000,358640
41,875,59.92,28,58813000,358640
41,875,59.87,296,58813000,358640
41,875,59.59,142,58813000,358640
41,875,51.9,103,43821000,296360
41,875,51.81,15,43821000,296360
41,875,46.96,89,35748000,252540
41,875,39.62,66,21910000,190270
41,1354,51.96,554,41784000,285100
41,1354,51.71,24,41784000,285100
41,1354,46.9,296,34629000,240090
41,1354,46.81,60,34629000,240090
41,1354,39.79,420,21931000,182370
41,754,51.96,265,41784000,285100
41,754,51.71,51,41784000,285100
41,754,51.46,60,41784000,285100
41,754,46.9,232,34629000,240090
41,754,46.81,30,34629000,240090
41,754,39.79,116,21931000,182370
41,1166,46.74,144,36600000,255000
41,1166,46.46,140,36600000,255000
41,1166,36.98,556,16950000,200000
41,1166,36.89,326,16950000,200000
41,414,46.51,110,38622000,322580
41,414,36.56,278,21176000,229320
41,414,26.66,26,15361000,162390
41,561,51.16,94,42119000,263850
41,561,46.39,102,32704000,222970
41,561,46.37,158,32704000,222970
41,561,36.73,207,18581000,157300
41,891,59.42,140,52059000,327770
41,891,51.16,168,40972000,256670
41,891,46.39,114,31814000,216900
41,891,46.37,134,31814000,216900
41,891,36.73,335,18075000,153020
41,120,33.97,18,17311000,174630
41,120,33.82,102,17311000,174630
41,970,45.32,360,17676000,98910
41,970,45.03,30,17563000,98260
41,970,36.44,296,14212000,79510
41,970,36.34,120,14171000,79290
41,970,36.2,164,14119000,78990
41,1088,46.33,546,29394000,213170
41,1088,37.49,212,18642000,159680
41,1088,29.82,330,10144000,115170
41,712,51.31,162,33603000,249580
41,712,43.21,194,25786000,196850
41,712,37.23,142,19135000,178450
41,712,29.78,214,10235000,126280
41,699,55.89,114,35688000,240090
41,699,51.99,60,30576000,207770
41,699,51.53,103,30576000,207770
41,699,46.87,310,23500000,177750
41,699,36.86,112,15649000,120150
41,951,55.89,138,33745000,229260
41,951,51.99,177,28332000,206220
41,951,46.87,341,22436000,171650
41,951,36.86,295,15041000,118890
41,836,51.93,90,27261000,226660
41,836,46.9,387,22152000,183480
41,836,39.98,129,16634000,136060
41,836,39.72,230,16634000,136060
41,718,45.01,270,17656000,101700
41,718,36.35,60,14939000,78060
41,718,36.34,30,14939000,78060
41,718,36.3,298,14939000,78060
41,718,36.25,60,14939000,78060
41,421,55.6,87,36314000,241600
41,421,51.93,58,31728000,225450
41,421,46.97,218,24700000,189520
41,421,36.65,58,15202000,120130
41,557,55.6,54,37983000,252710
41,557,51.93,160,31728000,225450
41,557,46.97,157,24700000,189520
41,557,36.65,186,15202000,120130
41,818,59.89,180,42442000,311660
41,818,51.93,292,33601000,224680
41,818,51.86,43,33601000,224680
41,818,36.62,105,16299000,123750
41,818,29.91,198,13336000,93710
41,377,55.6,66,36314000,241600
41,377,51.93,90,31728000,225450
41,377,46.97,163,24700000,189520
41,377,36.65,58,15202000,120130
41,765,55.6,114,37983000,252710
41,765,51.93,168,31728000,225450
41,765,46.97,137,24700000,189520
41,765,46.9,82,24700000,189520
41,765,36.97,87,15202000,120130
41,765,36.68,177,15202000,120130
41,384,55.98,51,39225000,252090
41,384,55.6,66,39225000,252090
41,384,46.97,28,25698000,189670
41,384,46.9,45,25698000,189670
41,384,36.97,45,15664000,123620
41,384,36.68,149,15664000,123620
41,314,46.98,83,23312000,189520
41,314,46.94,29,23312000,189520
41,314,39.61,72,16589000,136250
41,314,33.92,72,13355000,102800
41,314,33.77,58,13355000,102800
41,1114,59.89,180,40205000,333630
41,1114,51.93,280,32997000,272630
41,1114,46.96,29,26889000,221980
41,1114,46.9,465,26889000,221980
41,1114,39.56,160,19272000,158370
41,690,59.46,166,43680000,312310
41,690,46.56,524,28392000,194370
41,1860,59.42,80,43745000,328610
41,1860,46.83,96,29840000,210410
41,1860,46.56,352,29840000,210410
41,1860,36.63,96,17871000,144190
41,1860,36.61,48,17871000,144190
41,1860,36.52,94,17871000,144190
41,1860,36.47,388,17871000,144190
41,1860,36.37,424,17871000,144190
41,1860,29.57,282,14184000,115830
41,2230,59.43,192,44717000,322170
41,2230,46.83,455,29811000,200640
41,2230,46.56,34,29811000,200640
41,2230,36.63,46,17198000,142160
41,2230,36.61,73,17198000,142160
41,2230,36.52,130,17198000,142160
41,2230,36.45,192,17198000,142160
41,2230,36.36,722,17198000,142160
41,2230,29.57,386,13758000,114650
41,1250,51.98,26,40863000,276370
41,1250,51.96,104,40863000,276370
41,1250,46.87,152,30731000,222290
41,1250,46.66,86,30731000,222290
41,1250,39.77,494,22589000,170610
41,1250,39.66,98,22589000,170610
41,1250,33.66,290,16942000,138180
41,1417,46.71,88,32839000,274950
41,1417,46.7,480,32839000,274800
41,1417,46.61,196,32839000,273770
41,1417,36.79,596,16661000,193510
41,1417,36.47,57,16540000,191660
41,388,46.7,150,34349000,287440
41,388,46.61,52,34349000,286360
41,388,36.79,179,17427000,202410
41,388,36.47,7,17300000,200470
41,488,59.64,120,17647000,234590
41,488,51.95,210,15372000,201600
41,488,51.49,158,15236000,199630
41,368,46.85,64,47698000,308130
41,368,37.98,128,30928000,238380
41,368,26.99,176,16031000,168640
41,1331,59.4,150,56996000,411200
41,1331,51.98,86,45574000,362080
41,1331,51.57,108,45574000,362080
41,1331,46.94,50,37122000,302680
41,1331,46.7,100,37122000,302680
